Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 500.00 1400.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
2 500.00 1397.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
2 500.00 1397.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
2 500.00 1397.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
3 500.00 1394.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
3 500.00 1394.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
3 500.00 1394.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
4 500.00 1391.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
4 500.00 1391.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
4 500.00 1391.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
5 500.00 1388.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
5 500.00 1388.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
5 500.00 1388.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
6 500.00 1385.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
6 500.00 1385.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
6 500.00 1385.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
7 500.00 1382.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
7 500.00 1382.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
7 500.00 1382.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
8 500.00 1379.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
8 500.00 1379.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
8 500.00 1379.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
9 500.00 1376.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
9 500.00 1376.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
9 500.00 1376.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
10 500.00 1373.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
10 500.00 1373.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
10 500.00 1373.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
11 500.00 1370.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
11 500.00 1370.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
11 500.00 1370.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
12 500.00 1367.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
12 500.00 1367.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
12 500.00 1367.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
13 500.00 1364.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
13 500.00 1364.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
13 500.00 1364.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
14 500.00 1361.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
14 500.00 1361.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
14 500.00 1361.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
15 500.00 1358.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
15 500.00 1358.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
15 500.00 1358.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
16 500.00 1355.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
16 500.00 1355.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
16 500.00 1355.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
17 500.00 1352.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
17 500.00 1352.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
18 500.00 1349.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
17 500.00 1352.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
18 500.00 1349.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
19 500.00 1346.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
18 500.00 1349.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
19 500.00 1346.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
19 500.00 1346.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
20 500.00 1343.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
21 500.00 1340.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
20 500.00 1343.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
20 500.00 1343.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
22 500.00 1337.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
21 500.00 1340.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
21 500.00 1340.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
23 500.00 1334.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
22 500.00 1337.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
22 500.00 1337.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
