Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 500.00 1400.00 100.083084 45.5724 3.39596 12.2933 2.74835 0 9.04912 0.18465 10.6936 0 0 11.0188 2.29207 1.31061 0.43754 1.00353 0
2 500.00 1397.00 100.083193 45.5724 3.39595 12.2933 2.74944 0 9.04814 0.18465 10.6936 0 0 11.0188 2.29207 1.31061 0.43754 1.00353 0
3 500.00 1394.00 100.083305 45.5723 3.39595 12.2933 2.75055 0 9.04712 0.18465 10.6936 0 0 11.0188 2.29206 1.31061 0.437539 1.00353 0
4 500.00 1391.00 100.083419 45.5723 3.39594 12.2932 2.75169 0 9.04608 0.184649 10.6936 0 0 11.0188 2.29206 1.31061 0.437539 1.00353 0
5 500.00 1388.00 100.083537 45.5722 3.39594 12.2932 2.75285 0 9.04502 0.184649 10.6936 0 0 11.0187 2.29206 1.31061 0.437538 1.00353 0
6 500.00 1385.00 100.083657 45.5722 3.39594 12.2932 2.75405 0 9.04393 0.184649 10.6936 0 0 11.0187 2.29206 1.31061 0.437538 1.00353 0
7 500.00 1382.00 100.083780 45.5721 3.39593 12.2932 2.75527 0 9.04281 0.184649 10.6936 0 0 11.0187 2.29205 1.31061 0.437537 1.00353 0
8 500.00 1379.00 100.083906 45.5721 3.39593 12.2932 2.75653 0 9.04167 0.184649 10.6936 0 0 11.0187 2.29205 1.3106 0.437537 1.00352 0
9 500.00 1376.00 100.084035 45.572 3.39592 12.2932 2.75781 0 9.0405 0.184648 10.6935 0 0 11.0187 2.29205 1.3106 0.437536 1.00352 0
10 500.00 1373.00 100.084167 45.5719 3.39592 12.2931 2.75912 0 9.03931 0.184648 10.6935 0 0 11.0187 2.29204 1.3106 0.437536 1.00352 0
11 500.00 1370.00 100.084302 45.5719 3.39591 12.2931 2.76046 0 9.03809 0.184648 10.6935 0 0 11.0187 2.29204 1.3106 0.437535 1.00352 0
12 500.00 1367.00 100.084439 45.5718 3.39591 12.2931 2.76183 0 9.03684 0.184648 10.6935 0 0 11.0186 2.29204 1.3106 0.437534 1.00352 0
13 500.00 1364.00 100.084580 45.5718 3.39591 12.2931 2.76323 0 9.03556 0.184647 10.6935 0 0 11.0186 2.29204 1.31059 0.437534 1.00352 0
14 500.00 1361.00 100.084724 45.5717 3.3959 12.2931 2.76466 0 9.03426 0.184647 10.6935 0 0 11.0186 2.29203 1.31059 0.437533 1.00352 0
15 500.00 1358.00 100.084871 45.5716 3.3959 12.2931 2.76612 0 9.03293 0.184647 10.6935 0 0 11.0186 2.29203 1.31059 0.437533 1.00352 0
16 500.00 1355.00 100.085021 45.5716 3.39589 12.293 2.76761 0 9.03157 0.184647 10.6934 0 0 11.0186 2.29203 1.31059 0.437532 1.00351 0
17 500.00 1352.00 100.085174 45.5715 3.39588 12.293 2.76913 0 9.03018 0.184646 10.6934 0 0 11.0186 2.29202 1.31059 0.437531 1.00351 0
18 500.00 1349.00 100.085330 45.5714 3.39588 12.293 2.77069 0 9.02877 0.184646 10.6934 0 0 11.0185 2.29202 1.31058 0.437531 1.00351 0
19 500.00 1346.00 100.085489 45.5713 3.39587 12.293 2.77227 0 9.02732 0.184646 10.6934 0 0 11.0185 2.29201 1.31058 0.43753 1.00351 0
20 500.00 1343.00 100.085652 45.5713 3.39587 12.293 2.77389 0 9.02585 0.184645 10.6934 0 0 11.0185 2.29201 1.31058 0.437529 1.00351 0
21 500.00 1340.00 100.085817 45.5712 3.39586 12.2929 2.77553 0 9.02435 0.184645 10.6934 0 0 11.0185 2.29201 1.31058 0.437528 1.00351 0
22 500.00 1337.00 100.085986 45.5711 3.39586 12.2929 2.77721 0 9.02282 0.184645 10.6933 0 0 11.0185 2.292 1.31058 0.437528 1.0035 0
23 500.00 1334.00 100.086158 45.571 3.39585 12.2929 2.77893 0 9.02126 0.184644 10.6933 0 0 11.0185 2.292 1.31057 0.437527 1.0035 0
24 500.00 1331.00 100.086334 45.571 3.39585 12.2929 2.78067 0 9.01967 0.184644 10.6933 0 0 11.0184 2.292 1.31057 0.437526 1.0035 0
25 500.00 1328.00 100.086513 45.5709 3.39584 12.2929 2.78245 0 9.01805 0.184644 10.6933 0 0 11.0184 2.29199 1.31057 0.437525 1.0035 0
26 500.00 1325.00 100.086695 45.5708 3.39583 12.2928 2.78426 0 9.0164 0.184643 10.6933 0 0 11.0184 2.29199 1.31057 0.437525 1.0035 0
27 500.00 1322.00 100.086880 45.5707 3.39583 12.2928 2.78611 0 9.01471 0.184643 10.6932 0 0 11.0184 2.29198 1.31056 0.437524 1.00349 0
28 500.00 1319.00 100.087069 45.5706 3.39582 12.2928 2.78798 0 9.013 0.184643 10.6932 0 0 11.0184 2.29198 1.31056 0.437523 1.00349 0
29 500.00 1316.00 100.087262 45.5705 3.39581 12.2928 2.7899 0 9.01126 0.184642 10.6932 0 0 11.0183 2.29197 1.31056 0.437522 1.00349 0
30 500.00 1313.00 100.087457 45.5705 3.39581 12.2927 2.79184 0 9.00949 0.184642 10.6932 0 0 11.0183 2.29197 1.31056 0.437521 1.00349 0
31 500.00 1310.00 100.087657 45.5704 3.3958 12.2927 2.79382 0 9.00768 0.184642 10.6932 0 0 11.0183 2.29196 1.31055 0.43752 1.00349 0
32 500.00 1307.00 100.087859 45.5703 3.39579 12.2927 2.79584 0 9.00584 0.184641 10.6931 0 0 11.0183 2.29196 1.31055 0.43752 1.00349 0
33 500.00 1304.00 100.088066 45.5702 3.39579 12.2927 2.79789 0 9.00397 0.184641 10.6931 0 0 11.0182 2.29196 1.31055 0.437519 1.00348 0
34 500.00 1301.00 100.088275 45.5701 3.39578 12.2926 2.79998 0 9.00207 0.184641 10.6931 0 0 11.0182 2.29195 1.31055 0.437518 1.00348 0
35 500.00 1298.00 100.088489 45.57 3.39577 12.2926 2.8021 0 9.00014 0.18464 10.6931 0 0 11.0182 2.29195 1.31054 0.437517 1.00348 0
36 500.00 1295.00 100.088706 45.5699 3.39577 12.2926 2.80426 0 8.99817 0.18464 10.693 0 0 11.0182 2.29194 1.31054 0.437516 1.00348 0
37 500.00 1292.00 100.088927 45.5698 3.39576 12.2926 2.80646 0 8.99617 0.184639 10.693 0 0 11.0181 2.29194 1.31054 0.437515 1.00347 0
38 500.00 1289.00 100.089151 45.5697 3.39575 12.2925 2.80869 0 8.99413 0.184639 10.693 0 0 11.0181 2.29193 1.31053 0.437514 1.00347 0
39 500.00 1286.00 100.089379 45.5696 3.39574 12.2925 2.81096 0 8.99206 0.184638 10.693 0 0 11.0181 2.29193 1.31053 0.437513 1.00347 0
40 500.00 1283.00 100.089611 45.5695 3.39573 12.2925 2.81326 0 8.98996 0.184638 10.693 0 0 11.0181 2.29192 1.31053 0.437512 1.00347 0
41 500.00 1280.00 100.089847 45.5694 3.39573 12.2924 2.81561 0 8.98783 0.184638 10.6929 0 0 11.018 2.29191 1.31053 0.437511 1.00347 0
42 500.00 1277.00 100.090087 45.5693 3.39572 12.2924 2.81799 0 8.98565 0.184637 10.6929 0 0 11.018 2.29191 1.31052 0.43751 1.00346 0
43 500.00 1274.00 100.090330 45.5691 3.39571 12.2924 2.82041 0 8.98345 0.184637 10.6929 0 0 11.018 2.2919 1.31052 0.437509 1.00346 0
44 500.00 1271.00 100.090578 45.569 3.3957 12.2924 2.82287 0 8.98121 0.184636 10.6928 0 0 11.018 2.2919 1.31052 0.437508 1.00346 0
45 500.00 1268.00 100.090829 45.5689 3.39569 12.2923 2.82537 0 8.97893 0.184636 10.6928 0 0 11.0179 2.29189 1.31051 0.437507 1.00346 0
46 500.00 1265.00 100.091084 45.5688 3.39568 12.2923 2.82791 0 8.97662 0.184635 10.6928 0 0 11.0179 2.29189 1.31051 0.437505 1.00345 0
47 500.00 1262.00 100.091343 45.5687 3.39568 12.2923 2.83048 0 8.97427 0.184635 10.6928 0 0 11.0179 2.29188 1.31051 0.437504 1.00345 0
48 500.00 1259.00 100.091606 45.5686 3.39567 12.2922 2.8331 0 8.97188 0.184634 10.6927 0 0 11.0179 2.29187 1.3105 0.437503 1.00345 0
49 500.00 1256.00 100.091874 45.5684 3.39566 12.2922 2.83576 0 8.96946 0.184634 10.6927 0 0 11.0178 2.29187 1.3105 0.437502 1.00344 0
50 500.00 1253.00 100.092145 45.5683 3.39565 12.2922 2.83846 0 8.967 0.184633 10.6927 0 0 11.0178 2.29186 1.3105 0.437501 1.00344 0
51 500.00 1250.00 100.092421 45.5682 3.39564 12.2921 2.8412 0 8.9645 0.184633 10.6927 0 0 11.0178 2.29186 1.31049 0.4375 1.00344 0
52 500.00 1247.00 100.092700 45.5681 3.39563 12.2921 2.84398 0 8.96197 0.184632 10.6926 0 0 11.0177 2.29185 1.31049 0.437498 1.00344 0
53 500.00 1244.00 100.092984 45.5679 3.39562 12.2921 2.8468 0 8.95939 0.184632 10.6926 0 0 11.0177 2.29184 1.31048 0.437497 1.00343 0
54 500.00 1241.00 100.093273 45.5678 3.39561 12.292 2.84967 0 8.95678 0.184631 10.6926 0 0 11.0177 2.29184 1.31048 0.437496 1.00343 0
55 500.00 1238.00 100.093565 45.5677 3.3956 12.292 2.85258 0 8.95413 0.184631 10.6925 0 0 11.0176 2.29183 1.31048 0.437495 1.00343 0
56 500.00 1235.00 100.093862 45.5675 3.39559 12.292 2.85553 0 8.95144 0.18463 10.6925 0 0 11.0176 2.29182 1.31047 0.437493 1.00342 0
57 500.00 1232.00 100.094163 45.5674 3.39558 12.2919 2.85853 0 8.94871 0.18463 10.6925 0 0 11.0176 2.29182 1.31047 0.437492 1.00342 0
58 500.00 1229.00 100.094469 45.5673 3.39557 12.2919 2.86156 0 8.94594 0.184629 10.6924 0 0 11.0175 2.29181 1.31047 0.437491 1.00342 0
59 500.00 1226.00 99.907574 45.5768 3.40192 12.3149 2.86656 0 8.9419 0.184511 10.6235 0 0 11.0374 2.2961 1.31292 0.438309 1.0053 0
60 500.00 1229.00 100.094469 45.5673 3.39557 12.2919 2.86156 0 8.94594 0.184629 10.6924 0 0 11.0175 2.29181 1.31047 0.437491 1.00342 0
61 500.00 1228.00 100.094572 45.5672 3.39557 12.2919 2.86259 0 8.94501 0.184629 10.6924 0 0 11.0175 2.29181 1.31046 0.43749 1.00342 0
62 500.00 1227.00 100.005382 45.5718 3.39859 12.3028 2.86453 0 8.94351 0.184573 10.6595 0 0 11.027 2.29385 1.31163 0.43788 1.00431 0
63 500.00 1228.00 100.094572 45.5672 3.39557 12.2919 2.86259 0 8.94501 0.184629 10.6924 0 0 11.0175 2.29181 1.31046 0.43749 1.00342 0
64 500.00 1227.90 100.094582 45.5672 3.39557 12.2919 2.86269 0 8.94492 0.184629 10.6924 0 0 11.0175 2.29181 1.31046 0.43749 1.00342 0
65 500.00 1227.80 100.083821 45.5678 3.39593 12.2932 2.8629 0 8.94476 0.184622 10.6885 0 0 11.0187 2.29205 1.3106 0.437537 1.00353 0
66 500.00 1227.90 100.093638 45.5673 3.3956 12.292 2.8627 0 8.94491 0.184628 10.6921 0 0 11.0176 2.29183 1.31048 0.437494 1.00343 0
67 500.00 1228.00 100.094572 45.5672 3.39557 12.2919 2.86259 0 8.94501 0.184629 10.6924 0 0 11.0175 2.29181 1.31046 0.43749 1.00342 0
68 500.00 1228.00 100.094572 45.5672 3.39557 12.2919 2.86259 0 8.94501 0.184629 10.6924 0 0 11.0175 2.29181 1.31046 0.43749 1.00342 0
69 500.00 1223.02 99.617569 45.5917 3.41183 12.3507 2.87256 0 8.93676 0.18432 10.5165 0 0 11.0683 2.30278 1.31674 0.439585 1.00822 0
70 500.00 1218.04 99.140013 45.6167 3.42826 12.4102 2.88256 0 8.9277 0.183994 10.3393 0 0 11.1195 2.31387 1.32308 0.441703 1.01308 0
71 500.00 1213.06 98.670643 45.6416 3.44457 12.4693 2.8925 0 8.91789 0.183656 10.1642 0 0 11.1704 2.32488 1.32938 0.443804 1.0179 0
72 500.00 1208.08 98.209276 45.6665 3.46075 12.5278 2.90238 0 8.90734 0.183307 9.99105 0 0 11.2209 2.3358 1.33562 0.445889 1.02268 0
73 500.00 1203.09 97.755735 45.6913 3.47681 12.586 2.91221 0 8.89605 0.182947 9.81996 0 0 11.2709 2.34664 1.34182 0.447957 1.02742 0
74 500.00 1198.11 97.309842 45.7161 3.49274 12.6436 2.92198 0 8.88402 0.182576 9.65088 0 0 11.3206 2.35739 1.34797 0.45001 1.03213 0
75 500.00 1193.13 96.871427 45.7409 3.50854 12.7008 2.9317 0 8.87126 0.182193 9.4838 0 0 11.3698 2.36806 1.35407 0.452047 1.0368 0
76 500.00 1188.15 96.440326 45.7656 3.52423 12.7576 2.94137 0 8.85777 0.1818 9.31871 0 0 11.4186 2.37865 1.36012 0.454067 1.04144 0
77 500.00 1183.17 96.016375 45.7903 3.53979 12.814 2.95098 0 8.84354 0.181395 9.1556 0 0 11.4671 2.38915 1.36612 0.456072 1.04604 0
78 500.00 1178.19 95.599416 45.8149 3.55523 12.8698 2.96054 0 8.82859 0.18098 8.99445 0 0 11.5151 2.39957 1.37208 0.458061 1.0506 0
79 500.00 1173.21 95.189293 45.8395 3.57055 12.9253 2.97005 0 8.81291 0.180554 8.83526 0 0 11.5628 2.40991 1.37799 0.460035 1.05513 0
80 500.00 1168.23 94.785854 45.8641 3.58574 12.9803 2.97952 0 8.79651 0.180117 8.67801 0 0 11.6101 2.42016 1.38386 0.461993 1.05962 0
81 500.00 1163.25 94.388949 45.8886 3.60082 13.0349 2.98893 0 8.77938 0.17967 8.5227 0 0 11.657 2.43034 1.38968 0.463936 1.06407 0
82 500.00 1158.26 93.998433 45.9131 3.61578 13.089 2.9983 0 8.76153 0.179212 8.3693 0 0 11.7035 2.44044 1.39545 0.465863 1.06849 0
83 500.00 1153.28 93.614162 45.9376 3.63062 13.1428 3.00761 0 8.74295 0.178744 8.21781 0 0 11.7496 2.45046 1.40118 0.467775 1.07288 0
84 500.00 1148.30 93.235995 45.9621 3.64535 13.1961 3.01688 0 8.72366 0.178265 8.06822 0 0 11.7953 2.4604 1.40686 0.469673 1.07723 0
85 500.00 1143.32 92.863794 45.9865 3.65996 13.249 3.02611 0 8.70365 0.177776 7.92051 0 0 11.8407 2.47026 1.4125 0.471555 1.08155 0
86 500.00 1138.34 92.497424 46.0109 3.67446 13.3014 3.03529 0 8.68292 0.177276 7.77466 0 0 11.8857 2.48004 1.4181 0.473423 1.08583 0
87 500.00 1133.36 87.581797 46.6174 3.56722 13.646 2.91464 0 8.26897 0.187117 7.43459 0 0 11.6099 2.6097 1.49769 0.499994 1.14678 0
88 500.00 1128.38 81.161714 47.7085 3.35137 14.1439 2.68279 0 7.48397 0.201924 6.95494 0 0 11.2763 2.80317 1.61616 0.539545 1.23749 0
89 500.00 1123.40 76.113472 48.6559 3.15944 14.5878 2.48152 0 6.82677 0.215317 6.52778 0 0 10.9496 2.97769 1.72335 0.57533 1.31957 0
90 500.00 1118.42 72.055562 49.4823 2.98761 14.9818 2.30777 0 6.27595 0.227443 6.1478 0 0 10.6321 3.13525 1.8204 0.607731 1.39388 0
91 500.00 1113.43 68.716161 50.2121 2.83149 15.3325 2.15718 0 5.80978 0.238496 5.80787 0 0 10.3244 3.27846 1.90887 0.637265 1.46162 0
92 500.00 1108.45 65.910318 50.8653 2.68726 15.6461 2.02575 0 5.41078 0.248649 5.50183 0 0 10.0264 3.40965 1.99013 0.664394 1.52384 0
93 500.00 1103.47 63.511681 51.4574 2.55192 15.9273 1.91026 0 5.06574 0.25804 5.22484 0 0 9.73766 3.53067 2.06529 0.689486 1.58139 0
94 500.00 1098.49 61.432244 52.0001 2.42306 16.18 1.80822 0 4.76483 0.266774 4.9732 0 0 9.45783 3.64297 2.1352 0.712824 1.63492 0
95 500.00 1093.51 59.609384 52.5025 2.29882 16.407 1.71769 0 4.50065 0.274932 4.7441 0 0 9.18666 3.74761 2.2005 0.734622 1.68491 0
96 500.00 1088.53 57.997716 52.9712 2.17778 16.6104 1.63713 0 4.26753 0.282572 4.53542 0 0 8.92414 3.84539 2.26165 0.755037 1.73174 0
97 500.00 1083.55 56.563718 53.4111 2.0591 16.7922 1.56529 0 4.0609 0.289736 4.34538 0 0 8.67062 3.93691 2.31898 0.774178 1.77564 0
98 500.00 1078.57 54.896925 53.8801 1.9617 16.8339 1.49768 0 3.85939 0.298533 4.20848 0 0 8.41689 4.02767 2.38845 0.797684 1.82955 0
99 500.00 1073.58 53.159845 54.3549 1.88105 16.795 1.43287 0 3.66323 0.308288 4.10256 0 0 8.16823 4.11588 2.46493 0.823749 1.88933 0
100 500.00 1068.60 51.561649 54.8037 1.80802 16.7505 1.3715 0 3.47878 0.317844 4.00259 0 0 7.931 4.19916 2.53972 0.849282 1.9479 0
101 500.00 1063.62 50.080684 55.2298 1.74176 16.6993 1.31359 0 3.30558 0.327155 3.90614 0 0 7.70587 4.27777 2.61315 0.874397 2.0055 0
102 500.00 1058.64 48.604981 55.6586 1.68597 16.6061 1.26513 0 3.15342 0.334794 3.76332 0 0 7.52171 4.35327 2.69039 0.900945 2.06639 0
103 500.00 1053.66 47.239654 56.0822 1.62199 16.4945 1.22329 0 3.0205 0.341774 3.6256 0 0 7.34691 4.42415 2.766 0.926984 2.12611 0
104 500.00 1048.68 45.966739 56.4896 1.56168 16.3782 1.18334 0 2.89447 0.348495 3.49504 0 0 7.18023 4.49089 2.84039 0.952654 2.18499 0
105 500.00 1043.70 44.775914 56.8819 1.50474 16.2578 1.14513 0 2.77477 0.354973 3.37109 0 0 7.02119 4.55368 2.91366 0.97799 2.2431 0
106 500.00 1038.72 43.658360 57.26 1.45089 16.1337 1.10852 0 2.66091 0.361224 3.25329 0 0 6.86936 4.61269 2.9859 1.00302 2.30051 0
107 500.00 1033.74 42.606503 57.6247 1.3999 16.0064 1.07338 0 2.55244 0.367262 3.1412 0 0 6.72436 4.66808 3.0572 1.02779 2.35731 0
108 500.00 1028.75 41.613806 57.9769 1.35155 15.8761 1.0396 0 2.44898 0.373099 3.03442 0 0 6.58581 4.72001 3.12764 1.0523 2.41354 0
109 500.00 1023.77 40.674608 58.3172 1.30565 15.7434 1.00709 0 2.35018 0.37875 2.93261 0 0 6.45337 4.7686 3.19729 1.0766 2.46927 0
110 500.00 1018.79 39.376231 58.7396 1.25699 15.5539 0.977165 0 2.25416 0.386924 2.80788 0 0 6.29769 4.82699 3.29834 1.1121 2.48819 0
111 500.00 1013.81 38.111674 59.1584 1.1941 15.3523 0.95302 0 2.1729 0.394873 2.68475 0 0 6.15145 4.88086 3.4029 1.149 2.50547 0
112 500.00 1008.83 36.886250 59.6106 1.13466 15.1625 0.928337 0 2.0941 0.402841 2.56466 0 0 5.97787 4.93391 3.51075 1.15728 2.52247 0
113 500.00 1003.85 35.697850 60.0982 1.07849 14.984 0.903253 0 2.0179 0.410805 2.44762 0 0 5.77614 4.98619 3.62208 1.13608 2.53921 0
114 500.00 998.87 34.588243 60.568 1.02614 14.8059 0.878487 0 1.94357 0.418511 2.33738 0 0 5.58479 5.03292 3.73243 1.11662 2.55526 0
115 500.00 993.89 33.549372 61.021 0.977267 14.6282 0.854078 0 1.87118 0.425966 2.23342 0 0 5.40324 5.07436 3.84187 1.09873 2.57069 0
116 500.00 988.91 32.574340 61.458 0.93154 14.4513 0.830052 0 1.80077 0.433183 2.13524 0 0 5.23093 5.11075 3.9504 1.08229 2.58556 0
117 500.00 983.92 31.657221 61.8799 0.88868 14.2752 0.806429 0 1.73237 0.44017 2.04242 0 0 5.0673 5.14235 4.05804 1.06719 2.5999 0
