System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM+1.0) rhol rhos viscosity aH2O chisqr
1 500.00 1400.00 100.083084 1.0000000000000000 1.000000 -1154750.554078 296.193289 37.988689 153.284575 -214.413041 3435.111786 -5.286 0.000 2.634550 0.000000 0.802 n/a n/a
2 500.00 1397.00 100.083193 1.0000000000000000 1.000000 -1155211.910650 295.918473 37.978485 153.284262 -214.354073 3435.136201 -5.312 0.000 2.635260 0.000000 0.810 n/a n/a
3 500.00 1394.00 100.083305 1.0000000000000000 1.000000 -1155673.306333 295.643168 37.968282 153.283963 -214.295161 3435.161238 -5.338 0.000 2.635971 0.000000 0.819 n/a n/a
4 500.00 1391.00 100.083419 1.0000000000000000 1.000000 -1156134.741548 295.367373 37.958082 153.283676 -214.236309 3435.186903 -5.364 0.000 2.636683 0.000000 0.827 n/a n/a
5 500.00 1388.00 100.083537 1.0000000000000000 1.000000 -1156596.216722 295.091086 37.947884 153.283404 -214.177515 3435.213200 -5.391 0.000 2.637394 0.000000 0.836 n/a n/a
6 500.00 1385.00 100.083657 1.0000000000000000 1.000000 -1157057.732287 294.814306 37.937689 153.283145 -214.118783 3435.240134 -5.417 0.000 2.638106 0.000000 0.845 n/a n/a
7 500.00 1382.00 100.083780 1.0000000000000000 1.000000 -1157519.288678 294.537030 37.927496 153.282900 -214.060112 3435.267711 -5.444 0.000 2.638819 0.000000 0.854 n/a n/a
8 500.00 1379.00 100.083906 1.0000000000000000 1.000000 -1157980.886337 294.259258 37.917306 153.282669 -214.001505 3435.295934 -5.471 0.000 2.639531 0.000000 0.862 n/a n/a
9 500.00 1376.00 100.084035 1.0000000000000000 1.000000 -1158442.525710 293.980986 37.907118 153.282452 -213.942963 3435.324809 -5.498 0.000 2.640244 0.000000 0.871 n/a n/a
10 500.00 1373.00 100.084167 1.0000000000000000 1.000000 -1158904.207246 293.702213 37.896933 153.282250 -213.884487 3435.354342 -5.525 0.000 2.640957 0.000000 0.880 n/a n/a
11 500.00 1370.00 100.084302 1.0000000000000000 1.000000 -1159365.931401 293.422937 37.886750 153.282061 -213.826078 3435.384538 -5.552 0.000 2.641670 0.000000 0.889 n/a n/a
12 500.00 1367.00 100.084439 1.0000000000000000 1.000000 -1159827.698636 293.143156 37.876570 153.281887 -213.767739 3435.415401 -5.579 0.000 2.642384 0.000000 0.898 n/a n/a
13 500.00 1364.00 100.084580 1.0000000000000000 1.000000 -1160289.509416 292.862869 37.866392 153.281728 -213.709470 3435.446937 -5.606 0.000 2.643098 0.000000 0.907 n/a n/a
14 500.00 1361.00 100.084724 1.0000000000000000 1.000000 -1160751.364211 292.582073 37.856217 153.281583 -213.651272 3435.479152 -5.633 0.000 2.643812 0.000000 0.916 n/a n/a
15 500.00 1358.00 100.084871 1.0000000000000000 1.000000 -1161213.263496 292.300767 37.846045 153.281453 -213.593148 3435.512051 -5.661 0.000 2.644527 0.000000 0.925 n/a n/a
16 500.00 1355.00 100.085021 1.0000000000000000 1.000000 -1161675.207754 292.018948 37.835875 153.281338 -213.535099 3435.545640 -5.688 0.000 2.645241 0.000000 0.934 n/a n/a
17 500.00 1352.00 100.085174 1.0000000000000000 1.000000 -1162137.197470 291.736615 37.825708 153.281237 -213.477125 3435.579923 -5.716 0.000 2.645956 0.000000 0.943 n/a n/a
18 500.00 1349.00 100.085330 1.0000000000000000 1.000000 -1162599.233136 291.453766 37.815543 153.281152 -213.419230 3435.614908 -5.744 0.000 2.646672 0.000000 0.952 n/a n/a
19 500.00 1346.00 100.085489 1.0000000000000000 1.000000 -1163061.315249 291.170398 37.805381 153.281082 -213.361413 3435.650598 -5.772 0.000 2.647387 0.000000 0.961 n/a n/a
20 500.00 1343.00 100.085652 1.0000000000000000 1.000000 -1163523.444311 290.886510 37.795222 153.281028 -213.303677 3435.687001 -5.800 0.000 2.648103 0.000000 0.970 n/a n/a
21 500.00 1340.00 100.085817 1.0000000000000000 1.000000 -1163985.620831 290.602100 37.785066 153.280989 -213.246023 3435.724122 -5.828 0.000 2.648819 0.000000 0.979 n/a n/a
22 500.00 1337.00 100.085986 1.0000000000000000 1.000000 -1164447.845323 290.317165 37.774912 153.280965 -213.188453 3435.761967 -5.856 0.000 2.649536 0.000000 0.989 n/a n/a
23 500.00 1334.00 100.086158 1.0000000000000000 1.000000 -1164910.118307 290.031705 37.764761 153.280958 -213.130969 3435.800542 -5.884 0.000 2.650253 0.000000 0.998 n/a n/a
24 500.00 1331.00 100.086334 1.0000000000000000 1.000000 -1165372.440307 289.745716 37.754612 153.280966 -213.073571 3435.839852 -5.912 0.000 2.650970 0.000000 1.007 n/a n/a
25 500.00 1328.00 100.086513 1.0000000000000000 1.000000 -1165834.811856 289.459196 37.744467 153.280990 -213.016261 3435.879905 -5.941 0.000 2.651687 0.000000 1.017 n/a n/a
26 500.00 1325.00 100.086695 1.0000000000000000 1.000000 -1166297.233492 289.172144 37.734324 153.281031 -212.959042 3435.920705 -5.970 0.000 2.652405 0.000000 1.026 n/a n/a
27 500.00 1322.00 100.086880 1.0000000000000000 1.000000 -1166759.705757 288.884558 37.724184 153.281087 -212.901914 3435.962260 -5.998 0.000 2.653122 0.000000 1.035 n/a n/a
28 500.00 1319.00 100.087069 1.0000000000000000 1.000000 -1167222.229202 288.596435 37.714047 153.281161 -212.844880 3436.004576 -6.027 0.000 2.653841 0.000000 1.045 n/a n/a
29 500.00 1316.00 100.087262 1.0000000000000000 1.000000 -1167684.804382 288.307774 37.703912 153.281250 -212.787941 3436.047659 -6.056 0.000 2.654559 0.000000 1.054 n/a n/a
30 500.00 1313.00 100.087457 1.0000000000000000 1.000000 -1168147.431860 288.018572 37.693781 153.281357 -212.731099 3436.091515 -6.085 0.000 2.655278 0.000000 1.064 n/a n/a
31 500.00 1310.00 100.087657 1.0000000000000000 1.000000 -1168610.112206 287.728827 37.683652 153.281480 -212.674355 3436.136152 -6.114 0.000 2.655997 0.000000 1.073 n/a n/a
32 500.00 1307.00 100.087859 1.0000000000000000 1.000000 -1169072.845993 287.438537 37.673526 153.281620 -212.617711 3436.181575 -6.143 0.000 2.656716 0.000000 1.083 n/a n/a
33 500.00 1304.00 100.088066 1.0000000000000000 1.000000 -1169535.633805 287.147700 37.663404 153.281778 -212.561170 3436.227791 -6.173 0.000 2.657435 0.000000 1.093 n/a n/a
34 500.00 1301.00 100.088275 1.0000000000000000 1.000000 -1169998.476230 286.856314 37.653284 153.281953 -212.504732 3436.274808 -6.202 0.000 2.658155 0.000000 1.102 n/a n/a
35 500.00 1298.00 100.088489 1.0000000000000000 1.000000 -1170461.373864 286.564376 37.643167 153.282145 -212.448399 3436.322632 -6.232 0.000 2.658875 0.000000 1.112 n/a n/a
36 500.00 1295.00 100.088706 1.0000000000000000 1.000000 -1170924.327308 286.271885 37.633053 153.282355 -212.392174 3436.371269 -6.261 0.000 2.659596 0.000000 1.122 n/a n/a
37 500.00 1292.00 100.088927 1.0000000000000000 1.000000 -1171387.337173 285.978838 37.622942 153.282583 -212.336058 3436.420728 -6.291 0.000 2.660316 0.000000 1.131 n/a n/a
38 500.00 1289.00 100.089151 1.0000000000000000 1.000000 -1171850.404075 285.685233 37.612834 153.282828 -212.280053 3436.471014 -6.321 0.000 2.661037 0.000000 1.141 n/a n/a
39 500.00 1286.00 100.089379 1.0000000000000000 1.000000 -1172313.528637 285.391068 37.602729 153.283092 -212.224161 3436.522136 -6.351 0.000 2.661758 0.000000 1.151 n/a n/a
40 500.00 1283.00 100.089611 1.0000000000000000 1.000000 -1172776.711491 285.096341 37.592627 153.283374 -212.168384 3436.574100 -6.381 0.000 2.662480 0.000000 1.161 n/a n/a
41 500.00 1280.00 100.089847 1.0000000000000000 1.000000 -1173239.953275 284.801049 37.582529 153.283674 -212.112724 3436.626913 -6.412 0.000 2.663202 0.000000 1.171 n/a n/a
42 500.00 1277.00 100.090087 1.0000000000000000 1.000000 -1173703.254634 284.505190 37.572433 153.283993 -212.057182 3436.680584 -6.442 0.000 2.663923 0.000000 1.181 n/a n/a
43 500.00 1274.00 100.090330 1.0000000000000000 1.000000 -1174166.616224 284.208761 37.562340 153.284331 -212.001761 3436.735120 -6.473 0.000 2.664646 0.000000 1.191 n/a n/a
44 500.00 1271.00 100.090578 1.0000000000000000 1.000000 -1174630.038703 283.911762 37.552251 153.284688 -211.946463 3436.790528 -6.503 0.000 2.665368 0.000000 1.201 n/a n/a
45 500.00 1268.00 100.090829 1.0000000000000000 1.000000 -1175093.522742 283.614188 37.542165 153.285063 -211.891289 3436.846815 -6.534 0.000 2.666091 0.000000 1.211 n/a n/a
46 500.00 1265.00 100.091084 1.0000000000000000 1.000000 -1175557.069018 283.316039 37.532082 153.285459 -211.836242 3436.903991 -6.565 0.000 2.666814 0.000000 1.221 n/a n/a
47 500.00 1262.00 100.091343 1.0000000000000000 1.000000 -1176020.678215 283.017311 37.522002 153.285873 -211.781324 3436.962062 -6.596 0.000 2.667537 0.000000 1.231 n/a n/a
48 500.00 1259.00 100.091606 1.0000000000000000 1.000000 -1176484.351027 282.718002 37.511925 153.286307 -211.726536 3437.021037 -6.627 0.000 2.668261 0.000000 1.242 n/a n/a
49 500.00 1256.00 100.091874 1.0000000000000000 1.000000 -1176948.088155 282.418110 37.501852 153.286761 -211.671882 3437.080924 -6.658 0.000 2.668985 0.000000 1.252 n/a n/a
50 500.00 1253.00 100.092145 1.0000000000000000 1.000000 -1177411.890309 282.117633 37.491782 153.287235 -211.617363 3437.141731 -6.689 0.000 2.669709 0.000000 1.262 n/a n/a
51 500.00 1250.00 100.092421 1.0000000000000000 1.000000 -1177875.758208 281.816568 37.481716 153.287729 -211.562980 3437.203465 -6.721 0.000 2.670433 0.000000 1.272 n/a n/a
52 500.00 1247.00 100.092700 1.0000000000000000 1.000000 -1178339.692577 281.514912 37.471652 153.288244 -211.508738 3437.266136 -6.753 0.000 2.671158 0.000000 1.283 n/a n/a
53 500.00 1244.00 100.092984 1.0000000000000000 1.000000 -1178803.694154 281.212664 37.461592 153.288779 -211.454637 3437.329753 -6.784 0.000 2.671883 0.000000 1.293 n/a n/a
54 500.00 1241.00 100.093273 1.0000000000000000 1.000000 -1179267.763682 280.909821 37.451536 153.289335 -211.400680 3437.394322 -6.816 0.000 2.672608 0.000000 1.304 n/a n/a
55 500.00 1238.00 100.093565 1.0000000000000000 1.000000 -1179731.901915 280.606380 37.441483 153.289912 -211.346869 3437.459854 -6.848 0.000 2.673333 0.000000 1.314 n/a n/a
56 500.00 1235.00 100.093862 1.0000000000000000 1.000000 -1180196.109617 280.302339 37.431433 153.290510 -211.293206 3437.526357 -6.880 0.000 2.674059 0.000000 1.325 n/a n/a
57 500.00 1232.00 100.094163 1.0000000000000000 1.000000 -1180660.387558 279.997696 37.421387 153.291129 -211.239695 3437.593840 -6.912 0.000 2.674785 0.000000 1.335 n/a n/a
58 500.00 1229.00 100.094469 1.0000000000000000 1.000000 -1181124.736520 279.692448 37.411344 153.291770 -211.186336 3437.662312 -6.945 0.000 2.675511 0.000000 1.346 n/a n/a
59 500.00 1226.00 100.094433 0.9981331692371412 0.998444 -1181665.708586 279.331624 37.396960 153.191157 -211.013850 3433.828455 -6.977 0.000 2.675705 3.212071 1.361 n/a n/a
60 500.00 1229.00 100.094469 1.0000000000000000 1.000000 -1181124.736520 279.692448 37.411344 153.291770 -211.186336 3437.662312 -6.945 0.000 2.675511 0.000000 1.346 n/a n/a
61 500.00 1228.00 100.094572 1.0000000000000000 1.000000 -1181279.535427 279.590563 37.407997 153.291988 -211.168584 3437.685357 -6.956 0.000 2.675753 0.000000 1.349 n/a n/a
62 500.00 1227.00 100.094511 0.9991095516094104 0.999258 -1181470.919566 279.462367 37.402577 153.243900 -211.093904 3435.847160 -6.966 0.000 2.675742 3.211500 1.355 n/a n/a
63 500.00 1228.00 100.094572 1.0000000000000000 1.000000 -1181279.535427 279.590563 37.407997 153.291988 -211.168584 3437.685357 -6.956 0.000 2.675753 0.000000 1.349 n/a n/a
64 500.00 1227.90 100.094582 1.0000000000000000 1.000000 -1181295.015757 279.580371 37.407662 153.292010 -211.166810 3437.687668 -6.957 0.000 2.675778 0.000000 1.350 n/a n/a
65 500.00 1227.80 100.094573 0.9998925863237245 0.999910 -1181314.914557 279.567010 37.407077 153.286204 -211.158162 3437.465492 -6.958 0.000 2.675771 3.211044 1.350 n/a n/a
66 500.00 1227.90 100.094580 0.9999905866675469 0.999992 -1181295.403035 279.580094 37.407640 153.291499 -211.166208 3437.667995 -6.957 0.000 2.675775 3.210987 1.350 n/a n/a
67 500.00 1228.00 100.094572 1.0000000000000000 1.000000 -1181279.535427 279.590563 37.407997 153.291988 -211.168584 3437.685357 -6.956 0.000 2.675753 0.000000 1.349 n/a n/a
68 500.00 1228.00 100.094572 1.0000000000000000 1.000000 -1181279.535426 279.590563 37.407997 153.291988 -211.168584 3437.685357 -6.956 0.000 2.675753 0.000000 1.349 n/a n/a
69 500.00 1223.02 100.094199 0.9952381916904586 0.996032 -1182244.979130 278.942260 37.380269 153.034834 -210.776954 3427.837911 -7.010 0.000 2.675593 3.213781 1.378 n/a n/a
70 500.00 1218.04 99.618672 0.9951950845009649 0.996000 -1177166.862334 277.125692 37.204810 152.174960 -210.278260 3410.918247 -7.064 0.000 2.675410 3.216666 1.406 n/a n/a
71 500.00 1213.06 99.141126 0.9952544100869843 0.996054 -1172059.869027 275.310442 37.029169 151.317765 -209.788175 3394.148233 -7.119 0.000 2.675231 3.219587 1.435 n/a n/a
72 500.00 1208.08 98.671765 0.9953128548258321 0.996106 -1167053.836624 273.521453 36.856511 150.476079 -209.308862 3377.675366 -7.174 0.000 2.675055 3.222545 1.464 n/a n/a
73 500.00 1203.09 98.210408 0.9953704158704634 0.996158 -1162137.290367 271.764393 36.686770 147.171426 -208.840074 3361.493066 -7.230 0.000 2.674882 3.225541 1.493 n/a n/a
74 500.00 1198.11 97.756876 0.9954270837863414 0.996209 -1157314.353501 270.034442 36.519879 146.356850 -208.381565 3345.594859 -7.286 0.000 2.674713 3.228577 1.522 n/a n/a
75 500.00 1193.13 97.310992 0.9954828897275754 0.996259 -1152585.956918 268.328947 36.355776 145.556676 -207.933100 3329.974448 -7.342 0.000 2.674547 3.231652 1.552 n/a n/a
76 500.00 1188.15 96.872587 0.9955378413173701 0.996308 -1147950.076688 266.647327 36.194398 144.770583 -207.494448 3314.625718 -7.399 0.000 2.674384 3.234769 1.581 n/a n/a
77 500.00 1183.17 96.441495 0.9955919444653423 0.996357 -1143404.737167 264.989015 36.035683 143.998262 -207.065386 3299.542694 -7.456 0.000 2.674224 3.237929 1.611 n/a n/a
78 500.00 1178.19 96.017553 0.9956452045202724 0.996404 -1138948.007708 263.353453 35.879574 143.239408 -206.645695 3284.719533 -7.513 0.000 2.674067 3.241132 1.641 n/a n/a
79 500.00 1173.21 95.600602 0.9956976262703708 0.996451 -1134578.000879 261.740101 35.726012 142.493723 -206.235161 3270.150519 -7.571 0.000 2.673914 3.244381 1.671 n/a n/a
80 500.00 1168.23 95.190488 0.9957492139410208 0.996498 -1130292.870732 260.148426 35.574941 141.760916 -205.833575 3255.830059 -7.629 0.000 2.673764 3.247676 1.702 n/a n/a
81 500.00 1163.25 94.787058 0.9957999711922564 0.996543 -1126090.811140 258.577912 35.426306 141.040702 -205.440735 3241.752675 -7.688 0.000 2.673616 3.251019 1.732 n/a n/a
82 500.00 1158.26 94.390162 0.9958499011148184 0.996588 -1121970.054176 257.028048 35.280051 140.332803 -205.056441 3227.913002 -7.747 0.000 2.673472 3.254411 1.763 n/a n/a
83 500.00 1153.28 93.999654 0.9958990062182969 0.996632 -1117928.868551 255.498339 35.136125 139.636946 -204.680499 3214.305781 -7.806 0.000 2.673331 3.257854 1.793 n/a n/a
84 500.00 1148.30 93.615391 0.9959472884315813 0.996676 -1113965.558090 253.988297 34.994476 138.952863 -204.312718 3200.925853 -7.866 0.000 2.673193 3.261350 1.824 n/a n/a
85 500.00 1143.32 93.237233 0.9959947490821517 0.996718 -1110078.460261 252.497445 34.855052 138.280291 -203.952912 3187.768160 -7.927 0.000 2.673057 3.264899 1.856 n/a n/a
86 500.00 1138.34 92.865040 0.9960413888841635 0.996760 -1106265.944729 251.025317 34.717803 137.618974 -203.600900 3174.827733 -7.987 0.000 2.672924 3.268505 1.887 n/a n/a
87 500.00 1133.36 92.536038 0.9464614985078766 0.958760 -1104917.295282 248.320747 34.416080 135.216273 -198.574762 3062.533430 -8.049 0.000 2.654255 3.490547 1.984 n/a n/a
88 500.00 1128.38 87.642895 0.9260501207624372 0.944143 -1052995.175077 234.897676 32.773556 127.092143 -191.190110 2854.108695 -8.110 0.000 2.622950 3.540387 2.138 n/a n/a
