Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 500.00 1400.00 98.049943 48.0213 0.67347 12.591 2.3753 0 7.58238 0.195209 12.6202 0 0 10.9414 1.94233 0.946762 0.195209 1.91533 0
2 500.00 1397.00 96.209155 48.0061 0.673256 12.587 2.69835 0 7.28844 0.195147 12.6162 0 0 10.938 1.94171 0.946462 0.195147 1.91419 0
2 500.00 1397.00 97.121082 48.016 0.673396 12.5896 2.483 0 7.48435 0.195187 12.6188 0 0 10.9402 1.94211 0.946658 0.195187 1.91542 0
2 500.00 1397.00 98.050669 48.021 0.673465 12.5909 2.37529 0 7.58233 0.195207 12.6202 0 0 10.9414 1.94231 0.946755 0.195207 1.91606 0
3 500.00 1394.00 97.121801 48.0157 0.673391 12.5895 2.48298 0 7.48429 0.195186 12.6188 0 0 10.9402 1.9421 0.946651 0.195186 1.91615 0
3 500.00 1394.00 96.209859 48.0058 0.673251 12.5869 2.69833 0 7.28839 0.195145 12.6161 0 0 10.9379 1.9417 0.946455 0.195145 1.91491 0
3 500.00 1394.00 98.051399 48.0206 0.67346 12.5908 2.37527 0 7.58227 0.195206 12.6201 0 0 10.9413 1.9423 0.946748 0.195206 1.91679 0
4 500.00 1391.00 97.122524 48.0153 0.673386 12.5894 2.48296 0 7.48423 0.195184 12.6187 0 0 10.9401 1.94208 0.946644 0.195184 1.91688 0
4 500.00 1391.00 96.210566 48.0054 0.673247 12.5868 2.69831 0 7.28833 0.195144 12.6161 0 0 10.9378 1.94168 0.946448 0.195144 1.91563 0
4 500.00 1391.00 98.052133 48.0203 0.673455 12.5907 2.37525 0 7.58221 0.195204 12.62 0 0 10.9412 1.94228 0.946741 0.195204 1.91752 0
5 500.00 1388.00 97.123250 48.015 0.673381 12.5893 2.48294 0 7.48418 0.195183 12.6186 0 0 10.94 1.94207 0.946637 0.195183 1.91761 0
5 500.00 1388.00 96.211278 48.0051 0.673242 12.5867 2.69829 0 7.28828 0.195142 12.616 0 0 10.9377 1.94167 0.946441 0.195142 1.91636 0
5 500.00 1388.00 98.052870 48.0199 0.67345 12.5906 2.37523 0 7.58216 0.195203 12.6199 0 0 10.9411 1.94227 0.946734 0.195203 1.91826 0
6 500.00 1385.00 97.123980 48.0146 0.673376 12.5892 2.48292 0 7.48412 0.195181 12.6185 0 0 10.9399 1.94205 0.946629 0.195181 1.91835 0
6 500.00 1385.00 96.211993 48.0047 0.673237 12.5866 2.69827 0 7.28822 0.195141 12.6159 0 0 10.9377 1.94165 0.946434 0.195141 1.91708 0
6 500.00 1385.00 98.053611 48.0196 0.673445 12.5905 2.37521 0 7.5821 0.195201 12.6198 0 0 10.941 1.94225 0.946727 0.195201 1.919 0
7 500.00 1382.00 97.124714 48.0142 0.67337 12.5891 2.4829 0 7.48407 0.19518 12.6184 0 0 10.9398 1.94204 0.946622 0.19518 1.91909 0
7 500.00 1382.00 96.212712 48.0043 0.673232 12.5865 2.69825 0 7.28817 0.19514 12.6158 0 0 10.9376 1.94164 0.946427 0.19514 1.91782 0
7 500.00 1382.00 98.054356 48.0192 0.67344 12.5904 2.3752 0 7.58204 0.1952 12.6197 0 0 10.941 1.94224 0.94672 0.1952 1.91975 0
8 500.00 1379.00 97.125451 48.0139 0.673365 12.589 2.48288 0 7.48401 0.195178 12.6183 0 0 10.9397 1.94202 0.946615 0.195178 1.91983 0
8 500.00 1379.00 96.213434 48.004 0.673226 12.5864 2.69823 0 7.28812 0.195138 12.6157 0 0 10.9375 1.94162 0.94642 0.195138 1.91855 0
8 500.00 1379.00 98.055105 48.0188 0.673435 12.5903 2.37518 0 7.58198 0.195198 12.6196 0 0 10.9409 1.94222 0.946712 0.195198 1.9205 0
9 500.00 1376.00 97.126193 48.0135 0.67336 12.5889 2.48287 0 7.48395 0.195177 12.6182 0 0 10.9397 1.94201 0.946608 0.195177 1.92058 0
9 500.00 1376.00 96.214160 48.0036 0.673221 12.5863 2.69821 0 7.28806 0.195137 12.6156 0 0 10.9374 1.94161 0.946413 0.195137 1.91929 0
9 500.00 1376.00 98.055858 48.0185 0.673429 12.5902 2.37516 0 7.58193 0.195197 12.6195 0 0 10.9408 1.94221 0.946705 0.195197 1.92125 0
10 500.00 1373.00 97.126938 48.0131 0.673355 12.5888 2.48285 0 7.48389 0.195175 12.6181 0 0 10.9396 1.94199 0.946601 0.195175 1.92134 0
10 500.00 1373.00 98.056615 48.0181 0.673424 12.5901 2.37514 0 7.58187 0.195195 12.6194 0 0 10.9407 1.94219 0.946698 0.195195 1.92201 0
10 500.00 1373.00 96.214890 48.0032 0.673216 12.5862 2.69819 0 7.28801 0.195135 12.6155 0 0 10.9373 1.94159 0.946406 0.195135 1.92004 0
11 500.00 1370.00 97.127688 48.0128 0.67335 12.5887 2.48283 0 7.48384 0.195174 12.618 0 0 10.9395 1.94198 0.946593 0.195174 1.92209 0
11 500.00 1370.00 98.057376 48.0177 0.673419 12.59 2.37512 0 7.58181 0.195194 12.6193 0 0 10.9406 1.94218 0.946691 0.195194 1.92277 0
11 500.00 1370.00 96.215624 48.0029 0.673211 12.5861 2.69817 0 7.28795 0.195134 12.6154 0 0 10.9372 1.94158 0.946398 0.195134 1.92079 0
12 500.00 1367.00 97.128441 48.0124 0.673345 12.5886 2.48281 0 7.48378 0.195172 12.6179 0 0 10.9394 1.94196 0.946586 0.195172 1.92285 0
12 500.00 1367.00 98.058140 48.0173 0.673414 12.5899 2.3751 0 7.58175 0.195192 12.6192 0 0 10.9405 1.94216 0.946683 0.195192 1.92353 0
12 500.00 1367.00 96.216362 48.0025 0.673206 12.586 2.69815 0 7.28789 0.195132 12.6153 0 0 10.9372 1.94157 0.946391 0.195132 1.92154 0
13 500.00 1364.00 97.129198 48.012 0.673339 12.5885 2.48279 0 7.48372 0.195171 12.6178 0 0 10.9393 1.94195 0.946579 0.195171 1.92362 0
13 500.00 1364.00 96.217104 48.0021 0.673201 12.5859 2.69813 0 7.28784 0.195131 12.6152 0 0 10.9371 1.94155 0.946384 0.195131 1.92229 0
13 500.00 1364.00 98.058909 48.017 0.673409 12.5898 2.37509 0 7.58169 0.195191 12.6191 0 0 10.9404 1.94215 0.946676 0.195191 1.9243 0
14 500.00 1361.00 97.129959 48.0116 0.673334 12.5884 2.48277 0 7.48366 0.195169 12.6177 0 0 10.9392 1.94193 0.946571 0.195169 1.92439 0
14 500.00 1361.00 98.059682 48.0166 0.673403 12.5897 2.37507 0 7.58163 0.195189 12.619 0 0 10.9404 1.94213 0.946668 0.195189 1.92508 0
14 500.00 1361.00 96.217849 48.0018 0.673196 12.5858 2.69811 0 7.28778 0.195129 12.6151 0 0 10.937 1.94154 0.946376 0.195129 1.92305 0
15 500.00 1358.00 97.130724 48.0113 0.673329 12.5883 2.48275 0 7.4836 0.195168 12.6176 0 0 10.9392 1.94192 0.946564 0.195168 1.92516 0
15 500.00 1358.00 98.060459 48.0162 0.673398 12.5896 2.37505 0 7.58157 0.195188 12.6189 0 0 10.9403 1.94212 0.946661 0.195188 1.92585 0
15 500.00 1358.00 96.218599 48.0014 0.67319 12.5857 2.69809 0 7.28772 0.195128 12.615 0 0 10.9369 1.94152 0.946369 0.195128 1.92382 0
16 500.00 1355.00 97.131493 48.0109 0.673323 12.5882 2.48273 0 7.48354 0.195166 12.6175 0 0 10.9391 1.9419 0.946556 0.195166 1.92594 0
16 500.00 1355.00 96.219352 48.001 0.673185 12.5856 2.69807 0 7.28767 0.195126 12.6149 0 0 10.9368 1.9415 0.946362 0.195126 1.92459 0
16 500.00 1355.00 98.061240 48.0158 0.673393 12.5895 2.37503 0 7.58151 0.195186 12.6188 0 0 10.9402 1.9421 0.946653 0.195186 1.92663 0
17 500.00 1352.00 97.132267 48.0105 0.673318 12.5881 2.48271 0 7.48348 0.195165 12.6174 0 0 10.939 1.94189 0.946549 0.195165 1.92672 0
17 500.00 1352.00 96.220109 48.0006 0.67318 12.5855 2.69804 0 7.28761 0.195125 12.6148 0 0 10.9367 1.94149 0.946354 0.195125 1.92536 0
18 500.00 1349.00 97.133044 48.0101 0.673313 12.588 2.48269 0 7.48342 0.195163 12.6173 0 0 10.9389 1.94187 0.946541 0.195163 1.9275 0
17 500.00 1352.00 98.062025 48.0154 0.673387 12.5894 2.37501 0 7.58145 0.195185 12.6187 0 0 10.9401 1.94209 0.946646 0.195185 1.92742 0
18 500.00 1349.00 96.220871 48.0003 0.673174 12.5854 2.69802 0 7.28755 0.195123 12.6147 0 0 10.9366 1.94147 0.946347 0.195123 1.92613 0
19 500.00 1346.00 97.133826 48.0097 0.673307 12.5879 2.48267 0 7.48336 0.195162 12.6172 0 0 10.9388 1.94186 0.946533 0.195162 1.92829 0
18 500.00 1349.00 98.062814 48.015 0.673382 12.5893 2.37499 0 7.58139 0.195183 12.6186 0 0 10.94 1.94207 0.946638 0.195183 1.92821 0
19 500.00 1346.00 96.221636 47.9999 0.673169 12.5853 2.698 0 7.28749 0.195121 12.6146 0 0 10.9366 1.94146 0.946339 0.195121 1.92691 0
19 500.00 1346.00 98.063608 48.0147 0.673376 12.5892 2.37497 0 7.58133 0.195182 12.6185 0 0 10.9399 1.94206 0.94663 0.195182 1.929 0
20 500.00 1343.00 97.134611 48.0093 0.673302 12.5878 2.48265 0 7.4833 0.19516 12.6171 0 0 10.9387 1.94184 0.946526 0.19516 1.92908 0
21 500.00 1340.00 97.135401 48.009 0.673296 12.5877 2.48263 0 7.48324 0.195158 12.617 0 0 10.9386 1.94183 0.946518 0.195158 1.92988 0
20 500.00 1343.00 96.222406 47.9995 0.673164 12.5852 2.69798 0 7.28744 0.19512 12.6145 0 0 10.9365 1.94144 0.946332 0.19512 1.9277 0
20 500.00 1343.00 98.064406 48.0143 0.673371 12.5891 2.37495 0 7.58127 0.19518 12.6184 0 0 10.9398 1.94204 0.946623 0.19518 1.9298 0
22 500.00 1337.00 97.136195 48.0086 0.673291 12.5876 2.48261 0 7.48318 0.195157 12.6169 0 0 10.9385 1.94181 0.94651 0.195157 1.93068 0
21 500.00 1340.00 96.223179 47.9991 0.673158 12.5851 2.69796 0 7.28738 0.195118 12.6144 0 0 10.9364 1.94143 0.946324 0.195118 1.92849 0
21 500.00 1340.00 98.065208 48.0139 0.673365 12.589 2.37493 0 7.5812 0.195178 12.6183 0 0 10.9397 1.94202 0.946615 0.195178 1.9306 0
23 500.00 1334.00 97.136994 48.0082 0.673285 12.5875 2.48259 0 7.48312 0.195155 12.6168 0 0 10.9384 1.94179 0.946503 0.195155 1.93149 0
22 500.00 1337.00 98.066014 48.0135 0.67336 12.5889 2.37491 0 7.58114 0.195177 12.6182 0 0 10.9397 1.94201 0.946607 0.195177 1.93141 0
22 500.00 1337.00 96.223957 47.9987 0.673153 12.585 2.69794 0 7.28732 0.195117 12.6143 0 0 10.9363 1.94141 0.946316 0.195117 1.92928 0
23 500.00 1334.00 98.066825 48.0131 0.673354 12.5888 2.37489 0 7.58108 0.195175 12.6181 0 0 10.9396 1.94199 0.946599 0.195175 1.93222 0
24 500.00 1331.00 97.137796 48.0078 0.67328 12.5874 2.48257 0 7.48306 0.195154 12.6167 0 0 10.9384 1.94178 0.946495 0.195154 1.9323 0
23 500.00 1334.00 96.224739 47.9983 0.673147 12.5849 2.69791 0 7.28726 0.195115 12.6142 0 0 10.9362 1.9414 0.946309 0.195115 1.93008 0
25 500.00 1328.00 97.138603 48.0074 0.673274 12.5873 2.48255 0 7.483 0.195152 12.6166 0 0 10.9383 1.94176 0.946487 0.195152 1.93311 0
24 500.00 1331.00 98.067640 48.0127 0.673349 12.5887 2.37487 0 7.58102 0.195174 12.618 0 0 10.9395 1.94198 0.946591 0.195174 1.93303 0
24 500.00 1331.00 96.225525 47.9979 0.673142 12.5848 2.69789 0 7.2872 0.195114 12.6141 0 0 10.9361 1.94138 0.946301 0.195114 1.93088 0
25 500.00 1328.00 98.068459 48.0123 0.673343 12.5886 2.37485 0 7.58095 0.195172 12.6179 0 0 10.9394 1.94196 0.946584 0.195172 1.93385 0
26 500.00 1325.00 97.139415 48.007 0.673269 12.5872 2.48253 0 7.48293 0.19515 12.6165 0 0 10.9382 1.94175 0.946479 0.19515 1.93393 0
25 500.00 1328.00 96.226316 47.9975 0.673136 12.5847 2.69787 0 7.28714 0.195112 12.614 0 0 10.936 1.94136 0.946293 0.195112 1.93168 0
26 500.00 1325.00 98.069283 48.0119 0.673337 12.5885 2.37483 0 7.58089 0.19517 12.6178 0 0 10.9393 1.94194 0.946576 0.19517 1.93468 0
