Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 500.00 1400.00 1.950057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
2 500.00 1397.00 3.790845 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
2 500.00 1397.00 2.878918 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
2 500.00 1397.00 1.949331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
3 500.00 1394.00 2.878199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
3 500.00 1394.00 3.790141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
3 500.00 1394.00 1.948601 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
4 500.00 1391.00 2.877476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
4 500.00 1391.00 3.789434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
4 500.00 1391.00 1.947867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
5 500.00 1388.00 2.876750 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
5 500.00 1388.00 3.788722 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
5 500.00 1388.00 1.947130 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
6 500.00 1385.00 2.876020 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
6 500.00 1385.00 3.788007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
6 500.00 1385.00 1.946389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
7 500.00 1382.00 2.875286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
7 500.00 1382.00 3.787288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
7 500.00 1382.00 1.945644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
8 500.00 1379.00 2.874549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
8 500.00 1379.00 3.786566 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
8 500.00 1379.00 1.944895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
9 500.00 1376.00 2.873807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
9 500.00 1376.00 3.785840 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
9 500.00 1376.00 1.944142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
10 500.00 1373.00 2.873062 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
10 500.00 1373.00 1.943385 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
10 500.00 1373.00 3.785110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
11 500.00 1370.00 2.872312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
11 500.00 1370.00 1.942624 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
11 500.00 1370.00 3.784376 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
12 500.00 1367.00 2.871559 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
12 500.00 1367.00 1.941860 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
12 500.00 1367.00 3.783638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
13 500.00 1364.00 2.870802 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
13 500.00 1364.00 3.782896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
13 500.00 1364.00 1.941091 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
14 500.00 1361.00 2.870041 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
14 500.00 1361.00 1.940318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
14 500.00 1361.00 3.782151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
15 500.00 1358.00 2.869276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
15 500.00 1358.00 1.939541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
15 500.00 1358.00 3.781401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
16 500.00 1355.00 2.868507 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
16 500.00 1355.00 3.780648 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
16 500.00 1355.00 1.938760 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
17 500.00 1352.00 2.867733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
17 500.00 1352.00 3.779891 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
18 500.00 1349.00 2.866956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
17 500.00 1352.00 1.937975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
18 500.00 1349.00 3.779129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
19 500.00 1346.00 2.866174 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
18 500.00 1349.00 1.937186 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
19 500.00 1346.00 3.778364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
19 500.00 1346.00 1.936392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
20 500.00 1343.00 2.865389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
21 500.00 1340.00 2.864599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
20 500.00 1343.00 3.777594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
